/*
The string not found in LCD language file, need to be added manually.
*/


a_over,Over,已结束
a_notstart,Is not started,未开始
a_aeclevel,AEC Level,音频回声抑制等级
a_ringtoneset,Ringtone：System Ringtone + Alert Tone,铃声设置
a_ringtonevol,Volume：Ringtone + Media + Notification,音量设置
a_noiseshield,Noise Shield,Noise Shield
a_remoteappconnect,Disable Remote Control App Connection,禁止手机遥控器连接
a_image_setting,Adjusting Local Video Effects,图像设置
a_preset,Camera Preset,预置位
a_ptz,PTZ,PTZ
a_initial_position,The initial position,初始位置
a_device_control,Devcie Control,设备控制
SD,Disable SD Card,禁用SD卡接口
USB,Disable USB Port,禁用USB接口
a_conferenceError2,The configuration number can not be empty,配置号码不能为空
a_conferenceError,The configuration name can not be empty,配置名称不能为空
a_stringError2,Conference name can’t contain ; character,会议名称不能含有;字符
a_stringError,Can’t contain ; character,不能含有;字符
a_conferenceName,Conference name,会议名称
a_conferenceMute,All members of the mute,所有成员静音
a_conferenceList,Number list,号码列表
a_callslience,Mute/unmute during a call,通话中静音/取消静音
dounleTap_phone,Double-tap on the screen,双击屏幕
a_weakalarm,Alarm volume down,闹钟铃声
a_weakvolume,Lower Ring tone volume,来电铃声
pick_phone,Pick up the phone,拿起话机
a_msgcustom,Customize,自定义
a_msginfo3,I am answering other calls and will call you back later,我正在接听其他电话，稍后给您回复电话
a_msginfo2,Sorry, I'm in a meeting,抱歉，我正在开会
a_msginfo1,It's not convenient now, I'll call you later,现在不方便，稍后给您电话
a_msginfo0,Sorry, it it not convenient to answer the phone now,抱歉，现在不方便接电话
a_msginfo,Reply content,短信回复内容
a_ringoncall,Reject incoming call,来电拒接
flip_phone,Flip phone,翻转话机
a_gesture,Gesture control,手势控制
a_rejectwithmsg,Reject with SMS,拒接并短信回复
a_passwordRule,6 to 32 characters, contain at least 1 number, and 1 letter/special character,6-32位，数字+字母/特殊字符组合
a_welcome,Welcome to,欢迎登录
loginError7,Password format incorrect,密码格式错误
loginError6,Password does not match,密码不匹配
loginError5,New password cannot be the same as default password,新密码不可为默认密码
loginError4,Please confirm password,请输入确认密码
loginError3,Please input new password,请输入新密码
loginError12,Please input password,请输入密码
loginError11,Please input user name,请输入用户名
a_changepwdPrompt,The device is currently using default password. Please change the password,正在使用默认密码，为了安全，请修改密码
enableftpupload,Upload record to FTP server,上传录音到FTP服务器
serversavepath,Server save path,服务器保存路径
ftpuploadinterval,Time interval(hours),时间间隔(小时)
recordstop,Stop and save the record,停止录音并保存文件
recordreplace,Replace old record,替换旧录音文件
recordstroageshort,Record memory is insufficient,当录音空间不足时
recordset,Record settings,录音设置
a_callchecked,Please select call Record,请选择通话记录
a_calliptchecked,Please select intercept record,请选择拦截记录
a_contactschecked,Please select contacts,请选择联系人
a_pttAdressError3,The address can not be the same as other multicast addresses,设置的地址不可与其他多播对讲地址相同。
a_pttAdressError2,The address can not be the same as PTT multicast address,设置的地址不可与PTT组播地址相同。
a_pttmodal44,setting group name,设置群组名称
a_SpectralinkSetting,Multicast settings,群组配置
a_channelmodal44,Join group,加入群组
a_ipError2,The port No. should between 1 and 65535,端口号在1~65535之间
a_ipError,Please enter the correct IP address,请输入正确ip
a_modeError,The label can’t contain ^ character,标签不能含有^字符
a_pttError,No permission,没有权限
a_modalemergencyChannel,(Emergency call),(紧急呼叫)
a_modalpriorityChannel,(Priority call),(优先呼叫)
a_channelmodal5,Label,标签
a_channelmodal4,Join channel,加入频道
a_channelmodal3,Subscribe,可接收
a_channelmodal2,Transmit,可传输
a_channelmodal1,Available,可使用
a_pttmodal4,Set Channel Name,设置频道名称
a_pttmodal3,Set Port,设置端口
a_pttmodal2,Set Multicast address,设置多播地址
a_pttmodal1,Set Channel Name,设置频道名称
a_ptt_channelSetting,Channel Config,频道配置
a_ptt_multicastAddress2,Multicast Address,多播地址
a_label,Label,标签
a_ptt_channel,Channel,频道
a_ptt_multiPort,Port,端口号
a_ptt_multicastAddress,PTT multicast address,PTT多播地址
a_multicast,Multicast Paging,多播对讲
a_ptt, PTT/Multicast Setting,PTT/组播设置
a_medarrwrong,Please fill in Media Address,请填写媒体通讯地址
a_whiteexit,The whitelist already exists,该白名单已存在
pwdRule1,Alphanumeric password must contain at least one number and at least one lowercase letter, uppercase letter or special character,字母数字密码必须包含数字以及至少一个小写字母，一个大写字母或特殊字符。
pwdRule0,Please enter at least 6 characters,请输入至少6个字符。
a_switch_number,The number that is dialed can not be empty,拨打的号码不能为空
a_switch_time_error,The termination time should not be earlier than the start time. Please choose another time,终止时间不能早于起始时间，请选择其他时间
a_switchTimeMax,The number of triggers has reached the upper limit and can not be added,触发条数已达到上限，无法添加
a_switchDefalut,(default),(默认)
a_switchName,Sensor name,开关量名称
a_preTime,Start time,起始时间
a_switchFrequency,Frequency,频率
a_switchNumber1,Dial out extension,拨打的号码
a_promptTone,Prompt tone,提示音
a_callRecordingFunction,recording,调用录音功能
a_callToDeal,Make call,调用拨打
a_soundPrompt,Play audio,声音提示
a_trigger2,Edge Triggered,边缘触发
a_trigger1,Level Triggered,水平触发
a_triggertype,Trigger type,触发类型
a_switchClose,Normally close,常闭
a_switchOpen,Normally open,常开
a_switchtype,Sensor type ,开关量类型
switch_linkage,Linkage function,联动功能
switch_basic,Basic setting,基本设置
advanced_switchTime,Trigger time,触发时间
advanced_switchSetting,Basic setting,基本设置
a_switch,Sensor setting ,开关量设置
tip_timeformat,Correct format hh:mm,正确的格式hh:mm
a_blockhistorycall,Select blocked calls,拦截记录
a_deletewhitesuc,Remove from whitelist successfully,已移出白名单
a_deletewhite,Are you sure to remove from the whitelist,是否确定移出白名单
a_whitelistsuc,Add to whitelist successfully,添加到白名单成功
a_callpwd,Call password,来电密码
a_blockcall,Block,拦截
a_callpwd32,Password length can't more than 32,密码不能超过32位
a_callpwdfill,Please fill the call password,请填写来电密码
a_unwhitecall,Non-white list calls,非白名单来电
a_inbackup,In backup..,正在备份..
a_Synced,Synced,同步完成
a_bkstore,In Recovery,恢复中
a_backupsize,Backup size,备份大小
a_backuptime,Backup time,备份时间
a_backup_cfg,Configuration information,配置信息
a_backupcontent,Backup content,备份内容
a_backupwarm,After backup, the original backup data will be overwrite,备份完成后, 原始备份数据将会被覆盖
start_backup,\"Start Backup\",“开始备份”
a_try,try,试试
backup_tip,Backup the data of the device(Such as Configuration information, Contacts, Call History),备份设备上的数据(如配置信息,通话记录,通讯录)
a_pm,PM,下午
a_am,AM,上午
a_del_locked,The locked file can\'t be deleted,上锁文件无法被删除！
a_locksuccess,Operate successfull,操作成功
a_numbererror,The number must be a digit,号码必须为数字
a_editContacts,Edit contacts,编辑联系人
a_deletecalls,Do you really want to delete the selected calls,是否确认删除选中的通话？
a_deletecontacts,Do you really want to delete the selected contacts,是否确认删除选中的联系人？
a_deletecontactstitle,Delete contacts,删除联系人
a_deletegrouptitle,Delete groups,删除群组
speaker_tip,After clicking the \"Play\" button, a piece of music will be played from the built-in speaker,点击“播放”按钮后将会从内置扬声器中播放一段音乐
valid_fail,Validation failed,校验失败
valid_suc,Validation success,校验成功
call_timeout,Call Failed! Timeout exception,呼叫失败! 超时异常
call_busy,Call Failed! 486 busy,呼叫失败! 486对方忙
call_notfound,Call Failed! 404 not found,呼叫失败! 404找不到
a_inheld,Being held..,被保持..
a_intalk,In talking..,通话中..
a_dialing_up,Calling..,呼叫中..
return_call,Click to return to call interface,点击返回通话界面
a_contactlist,Contacts List,联系人列表
a_selectcall,Select calls,选择通话
a_deleteblksuc,Remove from blacklist successfully,已移出黑名单
a_deleteblack,Are you sure to remove from the blacklist,是否确定移出黑名单
a_numberempty,Number can't be empty,号码不能为空
a_remarksinput,Please enter name,请输入名称
a_nameinput,Please enter number,请输入号码
a_addblock,Add from blocked calls,从拦截记录添加
a_removewhite,Remove whitelist,移出白名单
a_addmanul,Add manually,手动添加
a_removeblack,Remove blacklist,移出黑名单
a_blockrule,Blocking Rules,拦截规则
a_whiteset,Whitelist,白名单
a_blackwhite,Black/White List Settings,黑白名单设置
a_block,Call block,电话拦截
a_whitelist,Add to whitelist,加入白名单
a_accountdy,Use active account,使用动态帐号
a_backlistsuc,Add to blacklist successfully,添加到黑名单成功
a_name,Name,姓名
a_preschedule,PreSchedule,待开会议
a_deletehiscalls,Delete history calls,删除历史记录
history_all,Call history,历史记录
a_dndset,DND,免打扰设置
call_historycontact,Call History, Contacts,通话记录, 通讯录
a_acctunregistered,Account is not registered,帐号未注册
a_calls,Calls,通话
show_white,Display White,显示白色
show_blue,Display Blue,显示蓝色
show_red,Display Red,显示红色
show_green,Display Green,显示绿色
micro_phone,Microphone,麦克风
reset_test,Reset Button Test,复位键测试
cert_check,Certificate Verify,证书校验
reset_longpress,Long pressed,长按
reset_shortpress,Short pressed,短按
reset_unpressed,Unpressed,未按下
a_resetkeystatus,Reset key status: ,复位键状态：
tip_resetkeytest,The reset key is triggered only for testing during detection, and after clicking \"Stop testing\", it will return to normal,开始检测后，触发复位键仅进行测试，点击“停止检测”后复位键功能恢复正常
a_resetkey,Reset,复位键
reset_testip,Please press the reset button on the device and check the status of it,请按下设备上的复位键并检查复位键的状态
mic3looptesting,The microphone 3 audio loop is under testing,正在测试麦克风3音频回环
mic2looptesting,The microphone 2 audio loop is under testing,正在测试麦克风2音频回环
mic1looptesting,The microphone 1 audio loop is under testing,正在测试麦克风1音频回环
collection_fail,Failed to collect sound, please try again later,采集失败，请稍候再试
a_sound_collection,Start sound collection (recording),开始声音采集（录音）
tip_audioloopstart,The call and audio functions will be affected during testing, and after clicking \"Stop testing\", it will return to normal,开始检测后，通话和音频功能会受影响，点击“停止检测”后可恢复正常
a_stoptest,Stop testing,停止检测
a_starttest,Start testing,开始检测
audio_looptip,select the item you want to test and input audio to the MIC,选择测试项后，对麦克风输入音频
led_testtip,Select test color and check LED status,选择测试颜色并查看LED灯状态
audio_loopback,Audio Loop Test,音频回环测试
a_nodevice,Sorry, no device is available,对不起，暂无可用设备
a_blthunpair,Unpair,取消配对
a_paireddevices,Paired devices,已配对的设备
a_discoverable,Visible to Nearby Bluetooth Devices,对附近设备可见
a_bluetooth,Bluetooth Settings,蓝牙设置
a_devicename,Device Name,设备名称
a_groupringtone,Group Ringtone,群组铃声
a_contacttitle,Titel,职位
a_department,Department,部门
a_contactrank,Rank,头衔
a_company,Company,公司
a_contactaddress,Address,住址
a_bindaccount,Bind Account,绑定帐号
a_addcontactgroups,Add Group,添加联系人组
a_mobilephone,Mobile Phone,移动电话
a_familyphone,Home Phone,家庭电话
a_workphone,Work Phone,工作电话
a_numberexceed,This contact already had three numbers, please select another contact,该联系人已有三个号码,请另选联系人
a_addLocalcontact,Save to local contacts,保存至已有联系人
a_contact,Contacts,联系人
a_protocalchanged,Modify the connection method or port, web will lead to log out and jump to the new address: ,修改连接方式或端口，页面将登出并跳转到新地址:
no_chinese,Can not include chinese characters,不能包含中文
a_adjustvol,Adjust Volume,调节音量
a_searchaborttip,Search all content for ,搜索全部内容关于
a_transfertip,\"Call Forword\" won't take effect when transfer is disabled,禁止转移时，选择\"转接\"将不会生效
a_incomingtip,\"Preview\" won't take effect when video call feature is disabled,禁用视频通话功能时，选择\"预览\"将不会生效
a_searchtip,Please enter the name of the configuration,请输入配置项名称
a_noresult,Sorry, no matching results,对不起,没有匹配结果
a_vericaloffset,Veritcal Offset,垂直位移
a_horizonoffset,Horizontal Offset,水平位移
a_remotebatt,Remote Battery,遥控器电量
a_extspeakerph,External Speakerphone,外置麦克风
a_usbport,USB Port,USB 口
a_delpart,Partially deleted successfully,部分成功删除
a_nameexist,The file already exists！,文件已存在！
a_playerror,The file is playing error,文件播放出错！
a_recordlen,Must be at most 64 characters, please rename again,最多只能有64个字符,请重新命名
a_deleteall,Are you sure to delete the selected files,是否确定删除已选中的文件
a_delerr,Some deletion failed,部分删除失败
a_downloaderror,The file is playing. Download failed,该文件正在播放，下载失败！
a_playinglimit,You should play one file at the same time,同时只能播放一个文件！
a_playing,The file is playing. Rename failed,该文件正在播放，重命名失败！
a_renameerr,Rename failed. Invalid characters,重命名失败, 存在无效字符
a_sunday,Sunday,星期天
a_installfail,Install Failed,安装失败！
a_canotinclude,CA certificates won't shown in user certificate list,CA证书将不会被显示在用户证书列表中。
a_installtip,The operation succeeds! Please make sure the certificate is correct, otherwise it won't take effect,操作成功！请务必上传正确的证书文件，否则将无法应用生效。
a_unselect_cert,Please select legal certificate,请选择有效证书！
a_userforvpn,VPN and other applications,VPN和其他应用
a_certname,Certificate Name,证书名称
a_certuse,Certificate Application,证书用途
a_uploadinstall,Upload & Install,上传并安装
a_selectcert,Select Certificate,选择证书
a_addcert,Add Certificate,添加证书
a_usercert,User Certificate,用户证书
no_data,Sorry, there is currently no data,对不起, 暂无数据
a_pwdlengthallowed,WEP Wi-Fi only allows entering password with 5, 10, 13, 26, 16 or 32 digits,WEP类型Wi-Fi密码只能为5/10/13/26/16/32位字符
a_pwdlengthlimit,Password length can't less than 8,密码不能少于8位字符
a_exclt,Excellent,极好
a_good,Good,较强
a_fair,Fair,一般
a_poor,Poor,弱
a_used,Used,已使用
a_available,Available,可用空间
a_sd,SD card,内置存储空间
a_wifiautoscan,The Wi-Fi list refreshes automatically every 15 seconds, you can also click the \"Scan\" button to refresh,Wi-Fi列表每15秒会进行自动刷新，您也可以通过点击“扫描”按钮进行刷新。
a_anonyiden,Anonymous identity,匿名身份
a_iden802,Identity,身份
a_usercert,User Certificate,用户证书
a_unspec,unspecified,未指定
a_phase2,Phase 2 Authentication,阶段2身份验证
a_eapmethod,EAP Method,EAP方法
a_netprefix,Network Prefix Length,网络前缀长度
a_advancedoption,Show Advanced Options,显示高级选项
a_wifistrength,Wi-Fi Strength,信号强度
a_avaiwifi,Available Wi-Fi,可用Wi-Fi
a_frequency,Frequency,频率
a_linkspeed,Link Speed,连接速度
a_saved,Saved,已保存
a_disconnect,Disconnect,断开
a_forget,Forget,取消保存
a_connect,Connect,连接
tip_requiredigit2,Must be numbers,只能输入数字
tip_requiredigit,Valid: integer,有效值：整数
a_custvialerror,Please fill in correct GUI customization file server path,请填写正确的自定义文件服务器路径
a_configurlerror,Please fill in correct config server path,请填写正确的配置文件服务器路径
a_urlerror,Please fill in correct firmware server path,请填写正确的固件服务器路径
a_strong,Strong,强
a_weak,Weak,弱
a_autoans,Auto Answer,自动应答
a_xsiset,XSI Service Settings,XSI服务设置
a_operate,Operation,操作
a_enablepreauto,Enable Auto Presentation When HDMI Plugged,当接入HDMI时自动开启演示
a_perinterface,Peripherals Interface Management,外设接口管理
a_ledmanage,LED Management,LED管理
a_lcdledmanage,LCD & LED Management,LCD&LED管理
a_certmanage,Certificate Management,证书管理
a_userinfo,User Info Management,用户信息管理
a_callset,Call Features,通话功能
a_guestsetting,Guest Settings,游客设置
a_guestset,Guest Features,游客功能
a_conventionset,Basic Settings,基本设置
max_length64,Please enter no more than 64 characters,请输入不超过64位字符！
ext_broadsoft,BroadSoft Settings,BroadSoft功能
system_app,Applications,应用
system_diagnosis,System Diagnosis,系统诊断
a_tr069,TR069,网管设置
cpnt_peripheral,Preferences,偏好设置
time_lang,Time and Language,时间和语言
call_setting,Phone Settings,电话设置
status_store,Storage Info,存储信息
a_gdspwdlimit,The length of GDS Password is over 32,门禁密码不能超过32位字符！
a_gdsnumberlimit,The length of GDS Number is over 64,门禁号码不能超过64位字符！
a_gdsnamelimit,The length of GDS Name is over 64,门禁标识名不能超过64位字符！
a_sameuseriderror,Same GDS Number exists already,已存在相同的门禁号码！
a_gdsnumbererror,GDS Number contains illegal character(s),门禁号码含有非法字符！
a_gdspwdempty,GDS Password can't be empty,门禁开门密码不能为空！
a_gdsnumempty,GDS Number can't be empty,门禁号码不能为空！
a_gdsnameempty,GDS Name can't be empty,门禁标识名不能为空！
a_promptdelete,Are you sure to delete the item(s),是否确定删除选中条目？
a_gdspwd,Access Password,门禁开门密码
a_dtmfcontent,DTMF Content,DTMF内容
a_gdsnumber,System Number,门禁号码
a_groupnum,No,序号
a_outdoor,Outdoor,室外
a_indoor,Indoor,室内
a_environment,Environment,使用环境
a_recordbs,Record on BroadSoft,BroadSoft服务器录音
a_recorducm,Record on UCM,UCM服务器录音
a_recordportaone,Record on PortaOne,PortaOne服务器录音
a_recordlocally,Record Locally,本地录音
a_recordmode,Record Mode,录音模式
a_vacctregister,Number Of Accounts The Virtual Account Group Register,虚拟帐号组主备服务器注册帐号个数
a_vgregisternum,Virtual Account Group Concurrence Register,虚拟帐号组主服务器注册帐号个数
a_servernumberlimit,The number of servers can't exceed ,服务器个数不能超过
a_repeatserveraddr,The server address is repeated,重复的服务器地址
a_serveraliasrepeat,The server alias name is already exists,该服务器别名已存在
a_serveraliaslength,The length of server alias is over 64,服务器别名不能超过64位字符
a_serveraliasempty,Server alias can't be empty,服务器别名不能为空
a_endcall,End Call,结束通话
a_onhold,On Hold,保持
a_dial,Dial,拨打
a_onboot,On Boot Completed,启动完成
a_onunregister,On Unregister,注销帐号
a_onregister,On Register,注册帐号
a_logoff,Log Off,关闭日志
a_logon,Log On,开启日志
a_onunhold,On Unhold,取消保持
a_onhold,On Hold,保持
a_attendtransfer,On Attended Transfer,指定转
a_blindtransfer,On Blind Transfer,盲转
a_forwardoff,Forward Off,关闭转移
a_forwardon,Forward On,开启转移
a_dndoff,DND Off,关闭DND
a_dndon,DND On,开启DND
a_ondisconnected,On Disconnected,通话结束
a_onconnected,On Connected,通话建立
a_ononhook,On Onhook,挂机
a_onoffhook,On Offhook,摘机
a_outgoingcall,Outgoing Call,去电
a_address,Address,多播对讲地址
a_multicastipporterror,Multicast Paging Address format must be IP:Port.The port range is 1-65535,多播对讲地址必须为组播IP:端口的形式，端口范围为1-65535
a_ipporterror,Listening Address format must be IP:Port.The port range is 1-65535,监听地址必须为组播IP:端口的形式，端口范围为1-65535
a_priority,Priority,优先级
a_label,Label,标签
a_listenaddr,Listening Address,监听地址
a_multicastlisten,Multicast Listening,多播对讲监听
a_mch264payload,Multicast Paging H.264 Payload Type,多播对讲H.264有效荷载类型
a_mch264protype,Multicast Paging H.264 Profile Type,多播对讲Profile类型
a_mcvidfr,Multicast Paging Video Frame Rate,多播对讲视频帧率
a_mcvidbr,Multicast Paging Video Bit Rate,多播对讲视频速率
a_mcimgsize,Multicast Paging Image Size,多播对讲视频大小
a_pagingvideocodec,Multicast Paging Video Codec,多播对讲视频编码
a_mpenablevideo,Enable Multicast Paging Video,开启多播对讲视频
a_pagingcodec,Multicast Paging Codec,多播对讲语音编码
a_pagingpri,Paging Priority Active,开启优先级开关
a_pagingbarge,Paging Barge,接收阈值
a_actionpath,Action Path,请求路径
a_bspassword,Login Password,登录密码
a_bsuserid,BroadWorks UserID,BroadWorks用户ID
a_disnonxmpp,Display Non XMPP Contacts,显示非XMPP联系人
a_bsacct,Associated BroadSoft Account,关联BroadSoft帐号
a_bsimp,Enable BroadSoft IM&P,开启BroadSoft IM&P
a_impsettings,IM&P Settings,IM&P设置
a_logincre,LogIn Credentials,登录认证
a_bsorders,BroadSoft Directory Order,BroadSoft联系人顺序
a_bsmaxhits,BroadSoft Directory Hits,BroadSoft联系人返回条数
a_bsupdateinterval,BroadSoft Directory & Call Logs Update Interval (s),BroadSoft联系人及通话记录更新间隔(秒)
a_netdir,Network Directories,网络目录
a_typeentercm,Enterprise Common,企业常用
a_typegroupcm,Group Common,群组常用
a_typeop9,Polycom Phonebook,Polycom电话簿
a_typeop6,Received Call Log,接听记录
a_typeop5,Placed Call Log,拨打记录
a_typeop4,Missed Call Log,未接来电记录
a_typeop3,Enterprise Directory,企业目录
a_typeop2,Personal Directory,个人目录
a_typeop1,Group Directory,群组目录
a_bsauthsip,SIP Credentials,SIP认证
a_bsauthtype,Authentication Type,认证类型
a_hiddenauthmode,Security Mode for Hidden SSID,隐藏SSID的安全模式
a_scan,Scan,扫描
a_roamingpoorinterval,Poor Signal Scanning Interval (s),信号差扫描间隔 (秒)
a_roaminggoodinterval,Good Signal Scanning Interval (s),信号优扫描间隔 (秒)
a_wifirebooteffect,Please restart Wi-Fi to take effect,请重启Wi-Fi使更改生效
tip_signalthrholdrange,The range is -30 ~ -90,范围为-30 ~ -90
a_signalthreshold,Signal Threshold,信号阈值
a_wifiroaming,Wi-Fi Roaming,Wi-Fi漫游
a_authmode,Security Mode,安全性
a_wifiauth,Wi-Fi Security,Wi-Fi安全
a_channel,Channel,频道
a_wififunc,Wi-Fi Function,Wi-Fi功能
a_wifinormal,Wi-Fi Basics,Wi-Fi基本
a_callvideo,Start Video,视频
a_recoresave,The record file have been saved to Application->Recording,录音文件已保存至应用—>录音
a_recordstop,Stop Record,停止录音
a_callrecord,Start Record,开始录音
